Time,Type,Count,Average,Median,Percentile90,Percentile99,Maximum 
22:53:21,101,45,254.46666666666667,250.0,308.0,338.0,338.0
22:53:21,103,42,214.07142857142858,212.0,237.20000000000002,305.0,305.0
22:53:21,109,6,246.83333333333334,238.0,271.0,271.0,271.0
22:53:21,111,7,238.28571428571428,218.0,313.0,313.0,313.0
22:53:22,129,1,256.0,256.0,256.0,256.0,256.0
22:53:22,101,47,242.17021276595744,242.0,262.0,342.0,342.0
22:53:22,103,42,212.92857142857142,210.0,238.90000000000003,330.0,330.0
22:53:22,111,1,223.0,223.0,223.0,223.0,223.0
22:53:23,129,1,263.0,263.0,263.0,263.0,263.0
22:53:23,101,37,252.64864864864865,252.0,299.8,316.0,316.0
22:53:23,103,36,208.55555555555554,208.0,228.00000000000006,284.0,284.0
22:53:23,109,2,250.0,250.0,258.0,258.0,258.0
22:53:23,111,1,253.0,253.0,253.0,253.0,253.0
22:53:24,101,39,245.5897435897436,241.0,286.0,354.0,354.0
22:53:24,103,42,212.88095238095238,212.5,226.7,283.0,283.0
22:53:24,109,1,244.0,244.0,244.0,244.0,244.0
22:53:24,111,1,229.0,229.0,229.0,229.0,229.0
22:53:25,101,37,243.48648648648648,246.0,268.2,305.0,305.0
22:53:25,103,34,210.58823529411765,210.0,225.0,252.0,252.0
22:53:25,109,2,247.0,247.0,248.0,248.0,248.0
22:53:25,111,2,202.5,202.5,203.0,203.0,203.0
22:53:26,101,35,239.31428571428572,240.0,266.59999999999997,285.0,285.0
22:53:26,103,32,216.375,211.0,247.2,331.0,331.0
22:53:27,129,1,238.0,238.0,238.0,238.0,238.0
22:53:27,101,39,243.4102564102564,241.0,265.0,378.0,378.0
22:53:27,103,44,216.86363636363637,210.5,255.0,502.0,502.0
22:53:27,109,2,262.5,262.5,272.0,272.0,272.0
22:53:27,111,1,215.0,215.0,215.0,215.0,215.0
22:53:28,101,45,246.37777777777777,243.0,268.4,337.0,337.0
22:53:28,103,45,216.9111111111111,212.0,254.59999999999997,289.0,289.0
22:53:28,109,7,247.14285714285714,241.0,281.0,281.0,281.0
22:53:28,111,6,235.5,217.5,299.0,299.0,299.0
22:53:29,101,56,242.125,241.0,266.80000000000007,331.0,331.0
22:53:29,103,51,214.0,211.0,251.00000000000006,302.0,302.0
22:53:30,101,57,250.43859649122808,246.0,281.80000000000007,419.0,419.0
22:53:30,103,50,198.94,201.5,220.0,241.0,241.0
22:53:30,109,1,240.0,240.0,240.0,240.0,240.0
22:53:30,111,2,243.0,243.0,273.0,273.0,273.0
22:53:31,129,1,255.0,255.0,255.0,255.0,255.0
22:53:31,101,51,241.2941176470588,240.0,274.6,289.0,289.0
22:53:31,103,52,211.17307692307693,208.5,225.5,454.0,454.0
22:53:31,109,14,257.0,251.5,286.0,300.0,300.0
22:53:31,111,14,232.5,239.5,274.0,281.0,281.0
22:53:32,129,1,272.0,272.0,272.0,272.0,272.0
22:53:32,101,46,238.34782608695653,239.0,268.6,320.0,320.0
22:53:32,103,43,209.09302325581396,208.0,221.60000000000002,287.0,287.0
22:53:32,109,4,250.0,250.0,261.0,261.0,261.0
22:53:32,111,3,249.0,248.0,286.0,286.0,286.0
22:53:33,101,51,236.37254901960785,238.0,260.0,281.0,281.0
22:53:33,103,54,209.83333333333334,210.5,235.0,285.0,285.0
22:53:33,109,1,250.0,250.0,250.0,250.0,250.0
22:53:33,111,1,226.0,226.0,226.0,226.0,226.0
22:53:34,101,55,241.3272727272727,243.0,263.4,324.0,324.0
22:53:34,103,44,207.0,206.5,251.0,307.0,307.0
22:53:34,109,1,254.0,254.0,254.0,254.0,254.0
22:53:34,111,1,216.0,216.0,216.0,216.0,216.0
22:53:35,101,48,243.0625,242.5,281.4,312.0,312.0
22:53:35,103,54,213.14814814814815,209.5,252.5,328.0,328.0
22:53:35,109,2,282.5,282.5,325.0,325.0,325.0
22:53:35,111,1,246.0,246.0,246.0,246.0,246.0
22:53:36,101,50,246.4,244.0,281.2,343.0,343.0
22:53:36,103,51,213.3921568627451,211.0,248.20000000000005,273.0,273.0
22:53:37,101,73,249.1917808219178,244.0,299.20000000000005,330.0,330.0
22:53:37,103,80,220.1,211.0,263.0,331.0,331.0
22:53:37,109,13,257.3076923076923,253.0,302.59999999999997,325.0,325.0
22:53:37,111,14,237.35714285714286,221.5,306.5,320.0,320.0
22:53:38,101,64,239.09375,242.0,258.5,294.0,294.0
22:53:38,103,53,218.0188679245283,214.0,253.0,299.0,299.0
22:53:39,101,51,243.7450980392157,242.0,276.0,330.0,330.0
22:53:39,103,45,210.0222222222222,209.0,241.6,257.0,257.0
22:53:40,101,56,243.30357142857142,244.0,271.0,314.0,314.0
22:53:40,103,52,209.01923076923077,208.0,238.00000000000003,508.0,508.0
22:53:41,101,51,244.07843137254903,242.0,277.00000000000006,353.0,353.0
22:53:41,103,48,217.08333333333334,211.0,257.6,284.0,284.0
22:53:42,101,66,245.13636363636363,241.5,277.40000000000003,333.0,333.0
22:53:42,103,72,216.95833333333334,211.5,252.0,328.0,328.0
22:53:42,109,2,258.5,258.5,261.0,261.0,261.0
22:53:42,111,2,219.5,219.5,226.0,226.0,226.0
22:53:43,101,43,240.30232558139534,239.0,263.6,285.0,285.0
22:53:43,103,41,210.3658536585366,212.0,224.0,299.0,299.0
22:53:43,109,1,245.0,245.0,245.0,245.0,245.0
22:53:43,111,1,224.0,224.0,224.0,224.0,224.0
22:53:44,101,54,244.27777777777777,243.0,271.5,326.0,326.0
22:53:44,103,47,210.70212765957447,209.0,234.2,331.0,331.0
22:53:44,109,2,231.0,231.0,233.0,233.0,233.0
22:53:44,111,2,276.0,276.0,302.0,302.0,302.0
22:53:44,101,44,244.27272727272728,244.5,269.5,290.0,290.0
22:53:45,103,40,219.525,211.5,230.9,524.0,524.0
22:53:45,109,1,260.0,260.0,260.0,260.0,260.0
22:53:45,111,1,276.0,276.0,276.0,276.0,276.0
22:53:46,101,46,242.7826086956522,246.0,264.5,300.0,300.0
22:53:46,103,40,208.975,212.5,225.9,265.0,265.0
22:53:46,109,14,266.92857142857144,253.5,330.0,338.0,338.0
22:53:46,111,15,187.46666666666667,183.0,211.6,223.0,223.0
22:53:47,101,50,241.34,243.0,259.9,284.0,284.0
22:53:47,103,51,214.15686274509804,212.0,239.20000000000002,281.0,281.0
22:53:48,101,54,253.0,249.0,276.0,500.0,500.0
22:53:48,103,56,218.76785714285714,211.5,249.60000000000002,540.0,540.0
22:53:48,109,3,271.3333333333333,249.0,332.0,332.0,332.0
22:53:48,111,3,233.33333333333334,223.0,258.0,258.0,258.0
22:53:49,101,46,246.65217391304347,246.0,286.30000000000007,322.0,322.0
22:53:49,103,43,214.5581395348837,210.0,222.6,386.0,386.0
22:53:49,109,2,253.5,253.5,260.0,260.0,260.0
22:53:49,111,3,223.66666666666666,224.0,225.0,225.0,225.0
22:53:50,101,52,248.3846153846154,242.5,299.90000000000003,351.0,351.0
22:53:50,103,53,219.54716981132074,210.0,270.6,524.0,524.0
22:53:50,109,5,269.2,252.0,327.0,327.0,327.0
22:53:50,111,1,219.0,219.0,219.0,219.0,219.0
22:53:50,101,50,243.44,242.0,272.9,301.0,301.0
22:53:51,103,46,214.5,209.5,239.50000000000006,330.0,330.0
22:53:51,109,1,242.0,242.0,242.0,242.0,242.0
22:53:51,111,1,255.0,255.0,255.0,255.0,255.0
22:53:52,101,54,241.5,240.0,277.5,381.0,381.0
22:53:52,103,52,215.1153846153846,212.0,241.5,298.0,298.0
22:53:52,109,1,249.0,249.0,249.0,249.0,249.0
22:53:52,111,1,218.0,218.0,218.0,218.0,218.0
22:53:53,101,48,238.72916666666666,238.5,265.0,298.0,298.0
22:53:53,103,56,208.875,207.0,237.10000000000002,328.0,328.0
22:53:54,101,55,240.52727272727273,242.0,261.8,283.0,283.0
22:53:54,103,48,209.22916666666666,205.5,244.5,281.0,281.0
22:53:54,109,1,235.0,235.0,235.0,235.0,235.0
22:53:54,111,1,227.0,227.0,227.0,227.0,227.0
22:53:55,101,45,243.66666666666666,244.0,279.8,350.0,350.0
22:53:55,103,53,216.8490566037736,209.0,261.6,328.0,328.0
22:53:55,109,5,294.6,300.0,330.0,330.0,330.0
22:53:55,111,5,217.2,203.0,278.0,278.0,278.0
22:53:56,101,52,238.19230769230768,238.0,261.7,274.0,274.0
22:53:56,103,48,212.0,208.5,247.3,301.0,301.0
22:53:56,109,2,251.5,251.5,259.0,259.0,259.0
22:53:56,111,2,255.0,255.0,284.0,284.0,284.0
22:53:57,101,34,241.58823529411765,243.0,263.0,292.0,292.0
22:53:57,103,32,209.9375,210.0,237.1,332.0,332.0
22:53:57,109,1,226.0,226.0,226.0,226.0,226.0
22:53:57,111,1,220.0,220.0,220.0,220.0,220.0
22:53:58,101,36,244.02777777777777,241.0,264.70000000000005,302.0,302.0
22:53:58,103,38,213.5,212.0,235.90000000000003,286.0,286.0
22:53:58,109,2,266.0,266.0,293.0,293.0,293.0
22:53:58,111,4,292.0,298.0,352.0,352.0,352.0
22:53:59,101,45,241.9777777777778,240.0,271.4,359.0,359.0
22:53:59,103,46,210.80434782608697,209.5,237.30000000000013,302.0,302.0
22:53:59,111,1,213.0,213.0,213.0,213.0,213.0
22:54:00,101,35,248.71428571428572,250.0,276.99999999999994,302.0,302.0
22:54:00,103,33,204.4848484848485,208.0,217.4,277.0,277.0
22:54:01,101,58,246.6206896551724,243.5,275.4,324.0,324.0
22:54:01,103,59,215.54237288135593,211.0,255.0,290.0,290.0
22:54:01,109,28,282.07142857142856,271.0,355.20000000000005,382.0,382.0
22:54:01,111,31,236.25806451612902,226.0,309.0,369.0,369.0
22:54:02,101,42,247.5,245.5,267.1,315.0,315.0
22:54:02,103,40,213.95,211.5,239.29999999999998,290.0,290.0
22:54:02,109,11,288.1818181818182,279.0,372.0,373.0,373.0
22:54:02,111,4,237.0,222.5,295.0,295.0,295.0
22:54:03,101,41,241.17073170731706,244.0,258.8,313.0,313.0
22:54:03,103,33,216.93939393939394,213.0,246.60000000000002,296.0,296.0
22:54:03,111,1,287.0,287.0,287.0,287.0,287.0
22:54:04,101,47,242.85106382978722,242.0,270.8,313.0,313.0
22:54:04,103,44,227.1590909090909,215.0,276.0,399.0,399.0
22:54:04,109,4,264.75,263.5,290.0,290.0,290.0
22:54:04,111,5,291.2,252.0,516.0,516.0,516.0
22:54:05,101,34,240.97058823529412,244.0,266.5,275.0,275.0
22:54:05,103,33,215.96969696969697,211.0,251.0,307.0,307.0
22:54:06,129,1,256.0,256.0,256.0,256.0,256.0
22:54:06,101,50,245.18,241.0,290.69999999999993,336.0,336.0
22:54:06,103,51,220.68627450980392,214.0,264.8,330.0,330.0
22:54:07,101,54,241.53703703703704,242.5,265.5,313.0,313.0
22:54:07,103,54,210.2962962962963,208.0,235.5,304.0,304.0
22:54:07,109,1,227.0,227.0,227.0,227.0,227.0
22:54:07,111,1,253.0,253.0,253.0,253.0,253.0
22:54:08,101,55,242.83636363636364,240.0,267.4,311.0,311.0
22:54:08,103,51,210.2549019607843,210.0,246.8,301.0,301.0
22:54:08,109,1,246.0,246.0,246.0,246.0,246.0
22:54:09,101,48,242.27083333333334,239.5,271.4,349.0,349.0
22:54:09,103,52,212.94230769230768,209.0,261.4,328.0,328.0
22:54:10,129,1,344.0,344.0,344.0,344.0,344.0
22:54:10,101,53,244.60377358490567,245.0,269.6,330.0,330.0
22:54:10,103,56,217.66071428571428,212.0,252.20000000000002,492.0,492.0
22:54:10,109,2,254.5,254.5,257.0,257.0,257.0
22:54:10,111,2,285.0,285.0,332.0,332.0,332.0
22:54:11,129,1,240.0,240.0,240.0,240.0,240.0
22:54:11,101,55,247.03636363636363,243.0,285.59999999999997,313.0,313.0
22:54:11,103,44,217.04545454545453,211.0,251.0,426.0,426.0
22:54:11,109,2,241.0,241.0,242.0,242.0,242.0
22:54:11,111,1,229.0,229.0,229.0,229.0,229.0
22:54:12,101,50,246.48,243.5,267.9,302.0,302.0
22:54:12,103,49,225.57142857142858,211.0,266.0,473.0,473.0
22:54:12,109,1,251.0,251.0,251.0,251.0,251.0
22:54:12,111,1,205.0,205.0,205.0,205.0,205.0
22:54:13,129,2,290.0,290.0,311.0,311.0,311.0
22:54:13,101,54,248.07407407407408,244.0,269.0,360.0,360.0
22:54:13,103,60,220.01666666666668,210.0,236.8,511.0,511.0
22:54:13,109,1,237.0,237.0,237.0,237.0,237.0
22:54:13,111,1,239.0,239.0,239.0,239.0,239.0
22:54:14,101,48,242.52083333333334,241.5,267.2,280.0,280.0
22:54:14,103,48,210.29166666666666,210.0,234.40000000000003,263.0,263.0
22:54:14,109,2,249.5,249.5,257.0,257.0,257.0
22:54:14,111,1,241.0,241.0,241.0,241.0,241.0
22:54:15,101,40,250.125,247.5,288.4,328.0,328.0
22:54:15,103,38,205.28947368421052,207.5,222.20000000000002,253.0,253.0
22:54:15,109,2,244.0,244.0,253.0,253.0,253.0
22:54:15,111,1,227.0,227.0,227.0,227.0,227.0
22:54:16,101,41,244.58536585365854,243.0,265.8,307.0,307.0
22:54:16,103,45,209.93333333333334,209.0,226.2,267.0,267.0
22:54:16,109,14,275.0,250.5,350.0,379.0,379.0
22:54:16,111,14,223.21428571428572,209.0,267.0,277.0,277.0
22:54:17,101,46,244.8695652173913,245.0,273.1,382.0,382.0
22:54:17,103,37,220.0,216.0,246.8,335.0,335.0
22:54:17,109,1,248.0,248.0,248.0,248.0,248.0
22:54:17,111,1,220.0,220.0,220.0,220.0,220.0
22:54:18,101,52,250.26923076923077,244.5,299.8,320.0,320.0
22:54:18,103,48,215.70833333333334,212.5,251.2,338.0,338.0
22:54:19,129,2,247.5,247.5,251.0,251.0,251.0
22:54:19,101,48,244.9375,247.0,263.50000000000006,301.0,301.0
22:54:19,103,46,227.1086956521739,212.5,273.9000000000002,495.0,495.0
22:54:20,101,51,248.92156862745097,246.0,277.0,358.0,358.0
22:54:20,103,53,216.20754716981133,210.0,253.8,521.0,521.0
22:54:21,129,2,256.0,256.0,265.0,265.0,265.0
22:54:21,101,57,243.56140350877192,244.0,262.0,303.0,303.0
22:54:21,103,54,228.83333333333334,212.0,278.0,481.0,481.0
22:54:22,101,55,247.4,246.0,269.2,327.0,327.0
22:54:21,103,59,222.66101694915255,207.0,267.0,531.0,531.0
22:54:23,129,3,267.3333333333333,250.0,304.0,304.0,304.0
22:54:23,101,55,249.72727272727272,244.0,294.0,324.0,324.0
22:54:23,103,54,217.37037037037038,212.0,252.5,351.0,351.0
22:54:23,109,2,288.0,288.0,328.0,328.0,328.0
22:54:23,111,2,263.5,263.5,291.0,291.0,291.0
22:54:24,101,41,253.3170731707317,241.0,293.0,423.0,423.0
22:54:24,103,36,214.19444444444446,214.5,251.60000000000002,287.0,287.0
22:54:24,109,2,251.5,251.5,255.0,255.0,255.0
22:54:24,111,2,298.5,298.5,323.0,323.0,323.0
22:54:25,101,38,242.05263157894737,243.0,267.0,298.0,298.0
22:54:25,103,43,208.88372093023256,213.0,223.6,246.0,246.0
22:54:26,101,40,245.95,245.5,268.3,330.0,330.0
22:54:26,103,38,212.3421052631579,214.0,227.60000000000002,296.0,296.0
22:54:27,101,39,245.12820512820514,246.0,265.0,291.0,291.0
22:54:27,103,40,217.875,210.5,256.09999999999997,418.0,418.0
22:54:27,109,1,292.0,292.0,292.0,292.0,292.0
22:54:27,111,2,208.5,208.5,213.0,213.0,213.0
22:54:28,101,36,248.52777777777777,245.0,272.2000000000001,351.0,351.0
